Time,Susceptible,Exposed,Infectious,Recovered
4.3100,0.8279,0.0876,0.0382,0.0464
4.3200,0.8277,0.0877,0.0382,0.0465
4.3300,0.8274,0.0878,0.0382,0.0466
4.3400,0.8272,0.0879,0.0382,0.0467
4.3500,0.8269,0.0881,0.0382,0.0468
4.3600,0.8267,0.0882,0.0382,0.0469
4.3700,0.8265,0.0883,0.0382,0.0470
4.3800,0.8262,0.0884,0.0383,0.0471
4.3900,0.8260,0.0886,0.0383,0.0472
4.4000,0.8258,0.0887,0.0383,0.0473
4.4100,0.8255,0.0888,0.0383,0.0474
4.4200,0.8253,0.0889,0.0383,0.0475
4.4300,0.8250,0.0891,0.0383,0.0476
4.4400,0.8248,0.0892,0.0383,0.0477
4.4500,0.8246,0.0893,0.0383,0.0478
4.4600,0.8243,0.0894,0.0384,0.0479
4.4700,0.8241,0.0895,0.0384,0.0480
4.4800,0.8239,0.0897,0.0384,0.0481
4.4900,0.8236,0.0898,0.0384,0.0482
4.5000,0.8234,0.0899,0.0384,0.0483
4.5100,0.8232,0.0900,0.0384,0.0484
4.5200,0.8229,0.0902,0.0384,0.0485
4.5300,0.8227,0.0903,0.0384,0.0486
4.5400,0.8224,0.0904,0.0385,0.0487
4.5500,0.8222,0.0905,0.0385,0.0488
4.5600,0.8220,0.0906,0.0385,0.0489
4.5700,0.8217,0.0908,0.0385,0.0490
4.5800,0.8215,0.0909,0.0385,0.0491
4.5900,0.8213,0.0910,0.0385,0.0492
4.6000,0.8210,0.0911,0.0385,0.0493
4.6100,0.8208,0.0913,0.0386,0.0494
4.6200,0.8205,0.0914,0.0386,0.0495
4.6300,0.8203,0.0915,0.0386,0.0496
4.6400,0.8201,0.0916,0.0386,0.0497
4.6500,0.8198,0.0917,0.0386,0.0498
4.6600,0.8196,0.0919,0.0386,0.0499
4.6700,0.8194,0.0920,0.0386,0.0500
4.6800,0.8191,0.0921,0.0387,0.0501
4.6900,0.8189,0.0922,0.0387,0.0502
4.7000,0.8186,0.0923,0.0387,0.0503
4.7100,0.8184,0.0925,0.0387,0.0504
4.7200,0.8182,0.0926,0.0387,0.0505
4.7300,0.8179,0.0927,0.0387,0.0506
4.7400,0.8177,0.0928,0.0387,0.0507
4.7500,0.8175,0.0929,0.0388,0.0508
4.7600,0.8172,0.0931,0.0388,0.0509
4.7700,0.8170,0.0932,0.0388,0.0510
4.7800,0.8168,0.0933,0.0388,0.0511
4.7900,0.8165,0.0934,0.0388,0.0513
4.8000,0.8163,0.0935,0.0388,0.0514
