Time,Susceptible,Infectious
50.4,0.717778,0.0666913
50.5,0.717213,0.0668971
50.6,0.716648,0.0671033
50.7,0.716083,0.0673099
50.8,0.715518,0.067517
50.9,0.714953,0.0677246
51,0.714387,0.0679326
51.1,0.713822,0.068141
51.2,0.713256,0.0683499
51.3,0.71269,0.0685592
51.4,0.712124,0.068769
51.5,0.711558,0.0689792
51.6,0.710991,0.0691899
51.7,0.710425,0.069401
51.8,0.709858,0.0696126
51.9,0.709291,0.0698246
52,0.708724,0.070037
52.1,0.708156,0.0702499
52.2,0.707589,0.0704633
52.3,0.707021,0.0706771
52.4,0.706454,0.0708914
52.5,0.705886,0.0711061
52.6,0.705318,0.0713212
52.7,0.704749,0.0715368
52.8,0.704181,0.0717529
52.9,0.703612,0.0719694
53,0.703044,0.0721863
53.1,0.702475,0.0724037
53.2,0.701906,0.0726216
53.3,0.701336,0.0728399
53.4,0.700767,0.0730586
53.5,0.700197,0.0732778
53.6,0.699628,0.0734974
53.7,0.699058,0.0737175
53.8,0.698488,0.0739381
53.9,0.697917,0.0741591
54,0.697347,0.0743805
54.1,0.696776,0.0746024
54.2,0.696206,0.0748247
54.3,0.695635,0.0750475
54.4,0.695064,0.0752707
54.5,0.694493,0.0754944
54.6,0.693921,0.0757186
54.7,0.69335,0.0759432
54.8,0.692778,0.0761682
54.9,0.692206,0.0763937
55,0.691634,0.0766196
55.1,0.691062,0.076846
55.2,0.690489,0.0770728
55.3,0.689917,0.0773001
55.4,0.689344,0.0775278
55.5,0.688771,0.077756
55.6,0.688198,0.0779846
55.7,0.687625,0.0782137
55.8,0.687052,0.0784432
55.9,0.686478,0.0786732
56,0.685905,0.0789036
56.1,0.685331,0.0791345
56.2,0.684757,0.0793658
56.3,0.684183,0.0795976
56.4,0.683608,0.0798298
56.5,0.683034,0.0800625
56.6,0.682459,0.0802956
56.7,0.681885,0.0805291
56.8,0.68131,0.0807632
56.9,0.680734,0.0809976
57,0.680159,0.0812325
57.1,0.679584,0.0814679
57.2,0.679008,0.0817037
57.3,0.678432,0.0819399
57.4,0.677857,0.0821766
57.5,0.67728,0.0824138
57.6,0.676704,0.0826514
57.7,0.676128,0.0828894
57.8,0.675551,0.0831279
57.9,0.674975,0.0833668
58,0.674398,0.0836062
58.1,0.673821,0.083846
58.2,0.673243,0.0840863
58.3,0.672666,0.084327
58.4,0.672089,0.0845682
58.5,0.671511,0.0848098
58.6,0.670933,0.0850518
58.7,0.670355,0.0852943
58.8,0.669777,0.0855373
58.9,0.669199,0.0857807
59,0.66862,0.0860245
59.1,0.668042,0.0862688
59.2,0.667463,0.0865135
59.3,0.666884,0.0867587
59.4,0.666305,0.0870043
59.5,0.665726,0.0872504
59.6,0.665147,0.0874969
59.7,0.664567,0.0877438
59.8,0.663987,0.0879912
59.9,0.663407,0.088239
60,0.662828,0.0884873
60.1,0.662247,0.088736
