Time,Susceptible,Infectious,Recovered
169.0900,0.1058,0.0000,0.8941
169.1000,0.1058,0.0000,0.8941
169.1100,0.1058,0.0000,0.8941
169.1200,0.1058,0.0000,0.8941
169.1300,0.1058,0.0000,0.8941
169.1400,0.1058,0.0000,0.8941
169.1500,0.1058,0.0000,0.8941
169.1600,0.1058,0.0000,0.8941
169.1700,0.1058,0.0000,0.8941
169.1800,0.1058,0.0000,0.8941
169.1900,0.1058,0.0000,0.8941
169.2000,0.1058,0.0000,0.8941
169.2100,0.1058,0.0000,0.8941
169.2200,0.1058,0.0000,0.8941
169.2300,0.1058,0.0000,0.8941
169.2400,0.1058,0.0000,0.8941
169.2500,0.1058,0.0000,0.8941
169.2600,0.1058,0.0000,0.8941
169.2700,0.1058,0.0000,0.8941
169.2800,0.1058,0.0000,0.8941
169.2900,0.1058,0.0000,0.8941
169.3000,0.1058,0.0000,0.8941
169.3100,0.1058,0.0000,0.8941
169.3200,0.1058,0.0000,0.8941
169.3300,0.1058,0.0000,0.8941
169.3400,0.1058,0.0000,0.8941
169.3500,0.1058,0.0000,0.8941
169.3600,0.1058,0.0000,0.8941
169.3700,0.1058,0.0000,0.8941
169.3800,0.1058,0.0000,0.8941
169.3900,0.1058,0.0000,0.8941
169.4000,0.1058,0.0000,0.8941
169.4100,0.1058,0.0000,0.8941
169.4200,0.1058,0.0000,0.8941
169.4300,0.1058,0.0000,0.8941
169.4400,0.1058,0.0000,0.8941
169.4500,0.1058,0.0000,0.8941
169.4600,0.1058,0.0000,0.8941
169.4700,0.1058,0.0000,0.8941
169.4800,0.1058,0.0000,0.8941
169.4900,0.1058,0.0000,0.8941
169.5000,0.1058,0.0000,0.8941
169.5100,0.1058,0.0000,0.8941
169.5200,0.1058,0.0000,0.8941
169.5300,0.1058,0.0000,0.8941
169.5400,0.1058,0.0000,0.8941
169.5500,0.1058,0.0000,0.8941
169.5600,0.1058,0.0000,0.8941
169.5700,0.1058,0.0000,0.8941
169.5800,0.1058,0.0000,0.8941
169.5900,0.1058,0.0000,0.8941
169.6000,0.1058,0.0000,0.8941
169.6100,0.1058,0.0000,0.8941
169.6200,0.1058,0.0000,0.8941
169.6300,0.1058,0.0000,0.8941
169.6400,0.1058,0.0000,0.8941
169.6500,0.1058,0.0000,0.8941
169.6600,0.1058,0.0000,0.8941
169.6700,0.1058,0.0000,0.8941
169.6800,0.1058,0.0000,0.8941
169.6900,0.1058,0.0000,0.8941
169.7000,0.1058,0.0000,0.8941
169.7100,0.1058,0.0000,0.8941
169.7200,0.1058,0.0000,0.8941
169.7300,0.1058,0.0000,0.8941
169.7400,0.1058,0.0000,0.8941
